Entity,Code,Date,Restrictions on gatherings (OxBSG)
Norway,NOR,2020-08-10,2
Norway,NOR,2020-08-11,2
Norway,NOR,2020-08-12,2
Norway,NOR,2020-08-13,2
Norway,NOR,2020-08-14,2
Norway,NOR,2020-08-15,2
Norway,NOR,2020-08-16,2
Norway,NOR,2020-08-17,2
Norway,NOR,2020-08-18,2
Norway,NOR,2020-08-19,2
Norway,NOR,2020-08-20,2
Norway,NOR,2020-08-21,2
Norway,NOR,2020-08-22,2
Norway,NOR,2020-08-23,2
Norway,NOR,2020-08-24,2
Norway,NOR,2020-08-25,2
Norway,NOR,2020-08-26,2
Norway,NOR,2020-08-27,2
Norway,NOR,2020-08-28,2
Norway,NOR,2020-08-29,2
Norway,NOR,2020-08-30,2
Norway,NOR,2020-08-31,2
Norway,NOR,2020-09-01,2
Norway,NOR,2020-09-02,2
Norway,NOR,2020-09-03,2
Norway,NOR,2020-09-04,2
Norway,NOR,2020-09-05,2
Norway,NOR,2020-09-06,2
Norway,NOR,2020-09-07,2
Oman,OMN,2020-01-01,0
Oman,OMN,2020-01-02,0
Oman,OMN,2020-01-03,0
Oman,OMN,2020-01-04,0
Oman,OMN,2020-01-05,0
Oman,OMN,2020-01-06,0
Oman,OMN,2020-01-07,0
Oman,OMN,2020-01-08,0
Oman,OMN,2020-01-09,0
Oman,OMN,2020-01-10,0
Oman,OMN,2020-01-11,0
Oman,OMN,2020-01-12,0
Oman,OMN,2020-01-13,0
Oman,OMN,2020-01-14,0
Oman,OMN,2020-01-15,0
Oman,OMN,2020-01-16,0
Oman,OMN,2020-01-17,0
Oman,OMN,2020-01-18,0
Oman,OMN,2020-01-19,0
Oman,OMN,2020-01-20,0
Oman,OMN,2020-01-21,0
Oman,OMN,2020-01-22,0
Oman,OMN,2020-01-23,0
Oman,OMN,2020-01-24,0
Oman,OMN,2020-01-25,0
Oman,OMN,2020-01-26,0
Oman,OMN,2020-01-27,0
Oman,OMN,2020-01-28,0
Oman,OMN,2020-01-29,0
Oman,OMN,2020-01-30,0
Oman,OMN,2020-01-31,0
Oman,OMN,2020-02-01,0
Oman,OMN,2020-02-02,0
Oman,OMN,2020-02-03,0
Oman,OMN,2020-02-04,0
Oman,OMN,2020-02-05,0
Oman,OMN,2020-02-06,0
Oman,OMN,2020-02-07,0
Oman,OMN,2020-02-08,0
Oman,OMN,2020-02-09,0
Oman,OMN,2020-02-10,0
Oman,OMN,2020-02-11,0
Oman,OMN,2020-02-12,0
Oman,OMN,2020-02-13,0
Oman,OMN,2020-02-14,0
Oman,OMN,2020-02-15,0
Oman,OMN,2020-02-16,0
Oman,OMN,2020-02-17,0
Oman,OMN,2020-02-18,0
Oman,OMN,2020-02-19,0
Oman,OMN,2020-02-20,0
Oman,OMN,2020-02-21,0
Oman,OMN,2020-02-22,0
Oman,OMN,2020-02-23,0
Oman,OMN,2020-02-24,0
Oman,OMN,2020-02-25,0
Oman,OMN,2020-02-26,0
Oman,OMN,2020-02-27,0
Oman,OMN,2020-02-28,0
Oman,OMN,2020-02-29,0
Oman,OMN,2020-03-01,0
Oman,OMN,2020-03-02,0
Oman,OMN,2020-03-03,0
Oman,OMN,2020-03-04,0
Oman,OMN,2020-03-05,0
Oman,OMN,2020-03-06,0
Oman,OMN,2020-03-07,0
Oman,OMN,2020-03-08,0
Oman,OMN,2020-03-09,0
Oman,OMN,2020-03-10,0
Oman,OMN,2020-03-11,0
Oman,OMN,2020-03-12,0
Oman,OMN,2020-03-13,0
Oman,OMN,2020-03-14,0
Oman,OMN,2020-03-15,0
Oman,OMN,2020-03-16,0
Oman,OMN,2020-03-17,4
Oman,OMN,2020-03-18,4
Oman,OMN,2020-03-19,4
Oman,OMN,2020-03-20,4
Oman,OMN,2020-03-21,4
Oman,OMN,2020-03-22,4
Oman,OMN,2020-03-23,4
Oman,OMN,2020-03-24,4
Oman,OMN,2020-03-25,4
Oman,OMN,2020-03-26,4
Oman,OMN,2020-03-27,4
Oman,OMN,2020-03-28,4
Oman,OMN,2020-03-29,4
Oman,OMN,2020-03-30,4
Oman,OMN,2020-03-31,4
Oman,OMN,2020-04-01,4
Oman,OMN,2020-04-02,4
Oman,OMN,2020-04-03,4
Oman,OMN,2020-04-04,4
Oman,OMN,2020-04-05,4
Oman,OMN,2020-04-06,4
Oman,OMN,2020-04-07,4
Oman,OMN,2020-04-08,4
Oman,OMN,2020-04-09,4
Oman,OMN,2020-04-10,4
Oman,OMN,2020-04-11,4
Oman,OMN,2020-04-12,4
Oman,OMN,2020-04-13,4
Oman,OMN,2020-04-14,4
Oman,OMN,2020-04-15,4
Oman,OMN,2020-04-16,4
Oman,OMN,2020-04-17,4
Oman,OMN,2020-04-18,4
Oman,OMN,2020-04-19,4
Oman,OMN,2020-04-20,4
Oman,OMN,2020-04-21,4
Oman,OMN,2020-04-22,4
Oman,OMN,2020-04-23,4
Oman,OMN,2020-04-24,4
Oman,OMN,2020-04-25,4
Oman,OMN,2020-04-26,4
Oman,OMN,2020-04-27,4
Oman,OMN,2020-04-28,4
Oman,OMN,2020-04-29,4
Oman,OMN,2020-04-30,4
Oman,OMN,2020-05-01,4
Oman,OMN,2020-05-02,4
Oman,OMN,2020-05-03,4
Oman,OMN,2020-05-04,4
Oman,OMN,2020-05-05,4
Oman,OMN,2020-05-06,4
Oman,OMN,2020-05-07,4
Oman,OMN,2020-05-08,4
Oman,OMN,2020-05-09,4
Oman,OMN,2020-05-10,4
Oman,OMN,2020-05-11,4
Oman,OMN,2020-05-12,4
Oman,OMN,2020-05-13,4
Oman,OMN,2020-05-14,4
Oman,OMN,2020-05-15,4
Oman,OMN,2020-05-16,4
Oman,OMN,2020-05-17,4
Oman,OMN,2020-05-18,4
Oman,OMN,2020-05-19,4
Oman,OMN,2020-05-20,4
Oman,OMN,2020-05-21,4
Oman,OMN,2020-05-22,4
Oman,OMN,2020-05-23,4
Oman,OMN,2020-05-24,4
Oman,OMN,2020-05-25,4
Oman,OMN,2020-05-26,4
Oman,OMN,2020-05-27,4
Oman,OMN,2020-05-28,4
Oman,OMN,2020-05-29,4
Oman,OMN,2020-05-30,4
Oman,OMN,2020-05-31,4
Oman,OMN,2020-06-01,4
Oman,OMN,2020-06-02,4
Oman,OMN,2020-06-03,4
Oman,OMN,2020-06-04,4
Oman,OMN,2020-06-05,4
Oman,OMN,2020-06-06,4
Oman,OMN,2020-06-07,4
Oman,OMN,2020-06-08,4
Oman,OMN,2020-06-09,4
Oman,OMN,2020-06-10,4
Oman,OMN,2020-06-11,4
Oman,OMN,2020-06-12,4
Oman,OMN,2020-06-13,4
Oman,OMN,2020-06-14,4
Oman,OMN,2020-06-15,4
Oman,OMN,2020-06-16,4
Oman,OMN,2020-06-17,4
Oman,OMN,2020-06-18,4
Oman,OMN,2020-06-19,4
Oman,OMN,2020-06-20,4
Oman,OMN,2020-06-21,4
Oman,OMN,2020-06-22,4
Oman,OMN,2020-06-23,4
Oman,OMN,2020-06-24,4
Oman,OMN,2020-06-25,4
Oman,OMN,2020-06-26,4
Oman,OMN,2020-06-27,4
Oman,OMN,2020-06-28,4
Oman,OMN,2020-06-29,4
Oman,OMN,2020-06-30,4
Oman,OMN,2020-07-01,4
Oman,OMN,2020-07-02,4
Oman,OMN,2020-07-03,4
Oman,OMN,2020-07-04,4
Oman,OMN,2020-07-05,4
Oman,OMN,2020-07-06,4
Oman,OMN,2020-07-07,4
Oman,OMN,2020-07-08,4
Oman,OMN,2020-07-09,4
Oman,OMN,2020-07-10,4
Oman,OMN,2020-07-11,4
Oman,OMN,2020-07-12,4
Oman,OMN,2020-07-13,4
Oman,OMN,2020-07-14,4
Oman,OMN,2020-07-15,4
Oman,OMN,2020-07-16,4
Oman,OMN,2020-07-17,4
Oman,OMN,2020-07-18,4
Oman,OMN,2020-07-19,4
Oman,OMN,2020-07-20,4
Oman,OMN,2020-07-21,4
Oman,OMN,2020-07-22,4
Oman,OMN,2020-07-23,4
Oman,OMN,2020-07-24,4
Oman,OMN,2020-07-25,4
Oman,OMN,2020-07-26,4
Oman,OMN,2020-07-27,4
Oman,OMN,2020-07-28,4
Oman,OMN,2020-07-29,4
Oman,OMN,2020-07-30,4
Oman,OMN,2020-07-31,4
Oman,OMN,2020-08-01,4
Oman,OMN,2020-08-02,4
Oman,OMN,2020-08-03,4
Oman,OMN,2020-08-04,4
Oman,OMN,2020-08-05,4
Oman,OMN,2020-08-06,4
Oman,OMN,2020-08-07,4
Oman,OMN,2020-08-08,4
Oman,OMN,2020-08-09,4
Oman,OMN,2020-08-10,4
Oman,OMN,2020-08-11,4
Oman,OMN,2020-08-12,4
Oman,OMN,2020-08-13,4
Oman,OMN,2020-08-14,4
Oman,OMN,2020-08-15,4
Oman,OMN,2020-08-16,4
Oman,OMN,2020-08-17,4
Oman,OMN,2020-08-18,4
Oman,OMN,2020-08-19,4
Oman,OMN,2020-08-20,4
Oman,OMN,2020-08-21,4
Oman,OMN,2020-08-22,4
Oman,OMN,2020-08-23,4
Oman,OMN,2020-08-24,4
Oman,OMN,2020-08-25,4
Oman,OMN,2020-08-26,4
Oman,OMN,2020-08-27,4
Oman,OMN,2020-08-28,4
Oman,OMN,2020-08-29,4
Oman,OMN,2020-08-30,4
Oman,OMN,2020-08-31,4
Oman,OMN,2020-09-01,4
Oman,OMN,2020-09-02,4
Oman,OMN,2020-09-03,4
Oman,OMN,2020-09-04,4
Oman,OMN,2020-09-05,4
Oman,OMN,2020-09-06,4
Oman,OMN,2020-09-07,4
Oman,OMN,2020-09-08,4
Oman,OMN,2020-09-09,4
Oman,OMN,2020-09-10,4
Pakistan,PAK,2020-01-01,0
Pakistan,PAK,2020-01-02,0
Pakistan,PAK,2020-01-03,0
Pakistan,PAK,2020-01-04,0
Pakistan,PAK,2020-01-05,0
Pakistan,PAK,2020-01-06,0
Pakistan,PAK,2020-01-07,0
Pakistan,PAK,2020-01-08,0
Pakistan,PAK,2020-01-09,0
Pakistan,PAK,2020-01-10,0
Pakistan,PAK,2020-01-11,0
Pakistan,PAK,2020-01-12,0
Pakistan,PAK,2020-01-13,0
Pakistan,PAK,2020-01-14,0
Pakistan,PAK,2020-01-15,0
Pakistan,PAK,2020-01-16,0
Pakistan,PAK,2020-01-17,0
Pakistan,PAK,2020-01-18,0
Pakistan,PAK,2020-01-19,0
Pakistan,PAK,2020-01-20,0
Pakistan,PAK,2020-01-21,0
Pakistan,PAK,2020-01-22,0
Pakistan,PAK,2020-01-23,0
Pakistan,PAK,2020-01-24,0
Pakistan,PAK,2020-01-25,0
Pakistan,PAK,2020-01-26,0
Pakistan,PAK,2020-01-27,0
Pakistan,PAK,2020-01-28,0
Pakistan,PAK,2020-01-29,0
Pakistan,PAK,2020-01-30,0
Pakistan,PAK,2020-01-31,0
Pakistan,PAK,2020-02-01,0
Pakistan,PAK,2020-02-02,0
Pakistan,PAK,2020-02-03,0
Pakistan,PAK,2020-02-04,0
Pakistan,PAK,2020-02-05,0
Pakistan,PAK,2020-02-06,0
Pakistan,PAK,2020-02-07,0
Pakistan,PAK,2020-02-08,0
Pakistan,PAK,2020-02-09,0
Pakistan,PAK,2020-02-10,0
Pakistan,PAK,2020-02-11,0
Pakistan,PAK,2020-02-12,0
Pakistan,PAK,2020-02-13,0
Pakistan,PAK,2020-02-14,0
Pakistan,PAK,2020-02-15,0
Pakistan,PAK,2020-02-16,0
Pakistan,PAK,2020-02-17,0
Pakistan,PAK,2020-02-18,0
Pakistan,PAK,2020-02-19,0
Pakistan,PAK,2020-02-20,0
Pakistan,PAK,2020-02-21,0
Pakistan,PAK,2020-02-22,0
Pakistan,PAK,2020-02-23,0
Pakistan,PAK,2020-02-24,0
Pakistan,PAK,2020-02-25,0
Pakistan,PAK,2020-02-26,0
Pakistan,PAK,2020-02-27,0
Pakistan,PAK,2020-02-28,0
Pakistan,PAK,2020-02-29,0
Pakistan,PAK,2020-03-01,0
Pakistan,PAK,2020-03-02,0
Pakistan,PAK,2020-03-03,0
Pakistan,PAK,2020-03-04,0
Pakistan,PAK,2020-03-05,0
Pakistan,PAK,2020-03-06,0
Pakistan,PAK,2020-03-07,0
Pakistan,PAK,2020-03-08,0
Pakistan,PAK,2020-03-09,0
Pakistan,PAK,2020-03-10,0
Pakistan,PAK,2020-03-11,0
Pakistan,PAK,2020-03-12,0
Pakistan,PAK,2020-03-13,4
Pakistan,PAK,2020-03-14,4
Pakistan,PAK,2020-03-15,4
Pakistan,PAK,2020-03-16,4
Pakistan,PAK,2020-03-17,4
Pakistan,PAK,2020-03-18,4
Pakistan,PAK,2020-03-19,4
Pakistan,PAK,2020-03-20,4
Pakistan,PAK,2020-03-21,4
Pakistan,PAK,2020-03-22,4
Pakistan,PAK,2020-03-23,4
Pakistan,PAK,2020-03-24,4
Pakistan,PAK,2020-03-25,4
Pakistan,PAK,2020-03-26,4
Pakistan,PAK,2020-03-27,4
Pakistan,PAK,2020-03-28,4
Pakistan,PAK,2020-03-29,4
Pakistan,PAK,2020-03-30,4
Pakistan,PAK,2020-03-31,4
Pakistan,PAK,2020-04-01,4
Pakistan,PAK,2020-04-02,4
Pakistan,PAK,2020-04-03,4
Pakistan,PAK,2020-04-04,4
Pakistan,PAK,2020-04-05,4
Pakistan,PAK,2020-04-06,4
Pakistan,PAK,2020-04-07,4
Pakistan,PAK,2020-04-08,4
Pakistan,PAK,2020-04-09,4
Pakistan,PAK,2020-04-10,4
Pakistan,PAK,2020-04-11,4
Pakistan,PAK,2020-04-12,4
Pakistan,PAK,2020-04-13,4
Pakistan,PAK,2020-04-14,4
Pakistan,PAK,2020-04-15,4
Pakistan,PAK,2020-04-16,4
Pakistan,PAK,2020-04-17,4
Pakistan,PAK,2020-04-18,4
Pakistan,PAK,2020-04-19,4
Pakistan,PAK,2020-04-20,4
Pakistan,PAK,2020-04-21,4
Pakistan,PAK,2020-04-22,4
Pakistan,PAK,2020-04-23,4
Pakistan,PAK,2020-04-24,4
Pakistan,PAK,2020-04-25,4
Pakistan,PAK,2020-04-26,4
Pakistan,PAK,2020-04-27,4
Pakistan,PAK,2020-04-28,4
Pakistan,PAK,2020-04-29,4
Pakistan,PAK,2020-04-30,4
Pakistan,PAK,2020-05-01,4
Pakistan,PAK,2020-05-02,4
Pakistan,PAK,2020-05-03,4
Pakistan,PAK,2020-05-04,4
Pakistan,PAK,2020-05-05,4
Pakistan,PAK,2020-05-06,4
Pakistan,PAK,2020-05-07,4
Pakistan,PAK,2020-05-08,4
Pakistan,PAK,2020-05-09,4
Pakistan,PAK,2020-05-10,4
Pakistan,PAK,2020-05-11,4
Pakistan,PAK,2020-05-12,4
Pakistan,PAK,2020-05-13,4
Pakistan,PAK,2020-05-14,4
Pakistan,PAK,2020-05-15,4
Pakistan,PAK,2020-05-16,4
Pakistan,PAK,2020-05-17,4
Pakistan,PAK,2020-05-18,4
Pakistan,PAK,2020-05-19,4
Pakistan,PAK,2020-05-20,4
Pakistan,PAK,2020-05-21,4
Pakistan,PAK,2020-05-22,4
Pakistan,PAK,2020-05-23,4
Pakistan,PAK,2020-05-24,4
Pakistan,PAK,2020-05-25,4
Pakistan,PAK,2020-05-26,4
Pakistan,PAK,2020-05-27,4
Pakistan,PAK,2020-05-28,4
Pakistan,PAK,2020-05-29,4
Pakistan,PAK,2020-05-30,4
Pakistan,PAK,2020-05-31,4
Pakistan,PAK,2020-06-01,4
Pakistan,PAK,2020-06-02,4
Pakistan,PAK,2020-06-03,4
Pakistan,PAK,2020-06-04,4
Pakistan,PAK,2020-06-05,4
Pakistan,PAK,2020-06-06,4
Pakistan,PAK,2020-06-07,4
Pakistan,PAK,2020-06-08,4
Pakistan,PAK,2020-06-09,4
Pakistan,PAK,2020-06-10,4
Pakistan,PAK,2020-06-11,4
Pakistan,PAK,2020-06-12,4
Pakistan,PAK,2020-06-13,4
Pakistan,PAK,2020-06-14,4
Pakistan,PAK,2020-06-15,4
Pakistan,PAK,2020-06-16,4
Pakistan,PAK,2020-06-17,4
Pakistan,PAK,2020-06-18,4
Pakistan,PAK,2020-06-19,4
Pakistan,PAK,2020-06-20,4
Pakistan,PAK,2020-06-21,4
Pakistan,PAK,2020-06-22,4
Pakistan,PAK,2020-06-23,4
Pakistan,PAK,2020-06-24,4
Pakistan,PAK,2020-06-25,4
Pakistan,PAK,2020-06-26,4
Pakistan,PAK,2020-06-27,4
Pakistan,PAK,2020-06-28,4
Pakistan,PAK,2020-06-29,4
Pakistan,PAK,2020-06-30,4
Pakistan,PAK,2020-07-01,4
Pakistan,PAK,2020-07-02,4
Pakistan,PAK,2020-07-03,4
Pakistan,PAK,2020-07-04,4
Pakistan,PAK,2020-07-05,4
Pakistan,PAK,2020-07-06,4
Pakistan,PAK,2020-07-07,4
Pakistan,PAK,2020-07-08,4
Pakistan,PAK,2020-07-09,4
Pakistan,PAK,2020-07-10,4
Pakistan,PAK,2020-07-11,4
Pakistan,PAK,2020-07-12,4
Pakistan,PAK,2020-07-13,4
Pakistan,PAK,2020-07-14,4
Pakistan,PAK,2020-07-15,4
Pakistan,PAK,2020-07-16,4
Pakistan,PAK,2020-07-17,4
Pakistan,PAK,2020-07-18,4
Pakistan,PAK,2020-07-19,4
Pakistan,PAK,2020-07-20,4
Pakistan,PAK,2020-07-21,4
Pakistan,PAK,2020-07-22,4
Pakistan,PAK,2020-07-23,4
Pakistan,PAK,2020-07-24,4
Pakistan,PAK,2020-07-25,4
Pakistan,PAK,2020-07-26,4
Pakistan,PAK,2020-07-27,4
Pakistan,PAK,2020-07-28,4
Pakistan,PAK,2020-07-29,4
Pakistan,PAK,2020-07-30,4
Pakistan,PAK,2020-07-31,4
Pakistan,PAK,2020-08-01,4
Pakistan,PAK,2020-08-02,4
Pakistan,PAK,2020-08-03,4
Pakistan,PAK,2020-08-04,4
Pakistan,PAK,2020-08-05,4
Pakistan,PAK,2020-08-06,4
Pakistan,PAK,2020-08-07,4
Pakistan,PAK,2020-08-08,4
Pakistan,PAK,2020-08-09,4
Pakistan,PAK,2020-08-10,3
Pakistan,PAK,2020-08-11,3
Pakistan,PAK,2020-08-12,3
Pakistan,PAK,2020-08-13,3
Pakistan,PAK,2020-08-14,3
Pakistan,PAK,2020-08-15,3
Pakistan,PAK,2020-08-16,3
Pakistan,PAK,2020-08-17,3
Pakistan,PAK,2020-08-18,3
Pakistan,PAK,2020-08-19,3
Pakistan,PAK,2020-08-20,3
Pakistan,PAK,2020-08-21,3
Pakistan,PAK,2020-08-22,3
Pakistan,PAK,2020-08-23,3
Pakistan,PAK,2020-08-24,3
Pakistan,PAK,2020-08-25,3
Pakistan,PAK,2020-08-26,3
Pakistan,PAK,2020-08-27,3
Pakistan,PAK,2020-08-28,3
Pakistan,PAK,2020-08-29,3
Pakistan,PAK,2020-08-30,3
Pakistan,PAK,2020-08-31,3
Pakistan,PAK,2020-09-01,3
Pakistan,PAK,2020-09-02,3
Pakistan,PAK,2020-09-03,3
Pakistan,PAK,2020-09-04,3
Pakistan,PAK,2020-09-05,3
Pakistan,PAK,2020-09-06,3
Palestine,PSE,2020-01-01,0
Palestine,PSE,2020-01-02,0
Palestine,PSE,2020-01-03,0
Palestine,PSE,2020-01-04,0
Palestine,PSE,2020-01-05,0
Palestine,PSE,2020-01-06,0
Palestine,PSE,2020-01-07,0
Palestine,PSE,2020-01-08,0
Palestine,PSE,2020-01-09,0
Palestine,PSE,2020-01-10,0
Palestine,PSE,2020-01-11,0
Palestine,PSE,2020-01-12,0
Palestine,PSE,2020-01-13,0
Palestine,PSE,2020-01-14,0
Palestine,PSE,2020-01-15,0
Palestine,PSE,2020-01-16,0
Palestine,PSE,2020-01-17,0
Palestine,PSE,2020-01-18,0
Palestine,PSE,2020-01-19,0
Palestine,PSE,2020-01-20,0
Palestine,PSE,2020-01-21,0
Palestine,PSE,2020-01-22,0
Palestine,PSE,2020-01-23,0
Palestine,PSE,2020-01-24,0
Palestine,PSE,2020-01-25,0
Palestine,PSE,2020-01-26,0
Palestine,PSE,2020-01-27,0
Palestine,PSE,2020-01-28,0
Palestine,PSE,2020-01-29,0
Palestine,PSE,2020-01-30,0
Palestine,PSE,2020-01-31,0
Palestine,PSE,2020-02-01,0
Palestine,PSE,2020-02-02,0
Palestine,PSE,2020-02-03,0
Palestine,PSE,2020-02-04,0
Palestine,PSE,2020-02-05,0
Palestine,PSE,2020-02-06,0
Palestine,PSE,2020-02-07,0
Palestine,PSE,2020-02-08,0
Palestine,PSE,2020-02-09,0
Palestine,PSE,2020-02-10,0
Palestine,PSE,2020-02-11,0
Palestine,PSE,2020-02-12,0
Palestine,PSE,2020-02-13,0
Palestine,PSE,2020-02-14,0
Palestine,PSE,2020-02-15,0
Palestine,PSE,2020-02-16,0
Palestine,PSE,2020-02-17,0
Palestine,PSE,2020-02-18,0
Palestine,PSE,2020-02-19,0
Palestine,PSE,2020-02-20,0
Palestine,PSE,2020-02-21,0
Palestine,PSE,2020-02-22,0
Palestine,PSE,2020-02-23,0
Palestine,PSE,2020-02-24,0
Palestine,PSE,2020-02-25,0
Palestine,PSE,2020-02-26,0
Palestine,PSE,2020-02-27,0
Palestine,PSE,2020-02-28,0
Palestine,PSE,2020-02-29,0
Palestine,PSE,2020-03-01,0
Palestine,PSE,2020-03-02,0
Palestine,PSE,2020-03-03,0
Palestine,PSE,2020-03-04,0
Palestine,PSE,2020-03-05,2
Palestine,PSE,2020-03-06,2
Palestine,PSE,2020-03-07,2
Palestine,PSE,2020-03-08,2
Palestine,PSE,2020-03-09,2
Palestine,PSE,2020-03-10,2
Palestine,PSE,2020-03-11,2
Palestine,PSE,2020-03-12,2
Palestine,PSE,2020-03-13,2
Palestine,PSE,2020-03-14,2
Palestine,PSE,2020-03-15,2
Palestine,PSE,2020-03-16,2
Palestine,PSE,2020-03-17,2
Palestine,PSE,2020-03-18,2
Palestine,PSE,2020-03-19,2
Palestine,PSE,2020-03-20,2
Palestine,PSE,2020-03-21,2
Palestine,PSE,2020-03-22,4
Palestine,PSE,2020-03-23,4
Palestine,PSE,2020-03-24,4
Palestine,PSE,2020-03-25,4
Palestine,PSE,2020-03-26,4
Palestine,PSE,2020-03-27,4
Palestine,PSE,2020-03-28,4
Palestine,PSE,2020-03-29,4
Palestine,PSE,2020-03-30,4
Palestine,PSE,2020-03-31,4
Palestine,PSE,2020-04-01,4
Palestine,PSE,2020-04-02,4
Palestine,PSE,2020-04-03,4
Palestine,PSE,2020-04-04,4
Palestine,PSE,2020-04-05,4
Palestine,PSE,2020-04-06,4
Palestine,PSE,2020-04-07,4
Palestine,PSE,2020-04-08,4
Palestine,PSE,2020-04-09,4
Palestine,PSE,2020-04-10,4
Palestine,PSE,2020-04-11,4
Palestine,PSE,2020-04-12,4
Palestine,PSE,2020-04-13,4
Palestine,PSE,2020-04-14,4
Palestine,PSE,2020-04-15,4
Palestine,PSE,2020-04-16,4
Palestine,PSE,2020-04-17,4
Palestine,PSE,2020-04-18,4
Palestine,PSE,2020-04-19,4
Palestine,PSE,2020-04-20,4
Palestine,PSE,2020-04-21,4
Palestine,PSE,2020-04-22,4
Palestine,PSE,2020-04-23,4
Palestine,PSE,2020-04-24,4
Palestine,PSE,2020-04-25,4
Palestine,PSE,2020-04-26,4
Palestine,PSE,2020-04-27,4
Palestine,PSE,2020-04-28,4
Palestine,PSE,2020-04-29,4
Palestine,PSE,2020-04-30,4
Palestine,PSE,2020-05-01,4
Palestine,PSE,2020-05-02,4
Palestine,PSE,2020-05-03,4
Palestine,PSE,2020-05-04,4
Palestine,PSE,2020-05-05,4
Palestine,PSE,2020-05-06,4
Palestine,PSE,2020-05-07,4
Palestine,PSE,2020-05-08,4
Palestine,PSE,2020-05-09,4
Palestine,PSE,2020-05-10,4
Palestine,PSE,2020-05-11,4
Palestine,PSE,2020-05-12,4
Palestine,PSE,2020-05-13,4
Palestine,PSE,2020-05-14,4
Palestine,PSE,2020-05-15,4
Palestine,PSE,2020-05-16,4
Palestine,PSE,2020-05-17,4
Palestine,PSE,2020-05-18,4
Palestine,PSE,2020-05-19,4
Palestine,PSE,2020-05-20,4
Palestine,PSE,2020-05-21,4
Palestine,PSE,2020-05-22,4
Palestine,PSE,2020-05-23,4
Palestine,PSE,2020-05-24,4
Palestine,PSE,2020-05-25,4
Palestine,PSE,2020-05-26,3
Palestine,PSE,2020-05-27,3
Palestine,PSE,2020-05-28,3
Palestine,PSE,2020-05-29,3
Palestine,PSE,2020-05-30,3
Palestine,PSE,2020-05-31,3
Palestine,PSE,2020-06-01,3
Palestine,PSE,2020-06-02,3
Palestine,PSE,2020-06-03,3
Palestine,PSE,2020-06-04,3
Palestine,PSE,2020-06-05,3
Palestine,PSE,2020-06-06,3
Palestine,PSE,2020-06-07,3
Palestine,PSE,2020-06-08,3
Palestine,PSE,2020-06-09,3
Palestine,PSE,2020-06-10,3
Palestine,PSE,2020-06-11,3
Palestine,PSE,2020-06-12,3
Palestine,PSE,2020-06-13,3
Palestine,PSE,2020-06-14,3
Palestine,PSE,2020-06-15,3
Palestine,PSE,2020-06-16,3
Palestine,PSE,2020-06-17,3
Palestine,PSE,2020-06-18,3
Palestine,PSE,2020-06-19,3
Palestine,PSE,2020-06-20,3
Palestine,PSE,2020-06-21,3
Palestine,PSE,2020-06-22,3
Palestine,PSE,2020-06-23,3
Palestine,PSE,2020-06-24,3
Palestine,PSE,2020-06-25,3
Palestine,PSE,2020-06-26,3
Palestine,PSE,2020-06-27,3
Palestine,PSE,2020-06-28,3
Palestine,PSE,2020-06-29,3
Palestine,PSE,2020-06-30,3
Palestine,PSE,2020-07-01,3
Palestine,PSE,2020-07-02,3
Palestine,PSE,2020-07-03,3
Palestine,PSE,2020-07-04,3
Palestine,PSE,2020-07-05,3
Palestine,PSE,2020-07-06,3
Palestine,PSE,2020-07-07,3
Palestine,PSE,2020-07-08,3
Palestine,PSE,2020-07-09,3
Palestine,PSE,2020-07-10,3
Palestine,PSE,2020-07-11,3
Palestine,PSE,2020-07-12,3
Palestine,PSE,2020-07-13,3
Palestine,PSE,2020-07-14,3
Palestine,PSE,2020-07-15,3
Palestine,PSE,2020-07-16,3
Palestine,PSE,2020-07-17,3
Palestine,PSE,2020-07-18,3
Palestine,PSE,2020-07-19,3
Palestine,PSE,2020-07-20,3
Palestine,PSE,2020-07-21,3
Palestine,PSE,2020-07-22,3
Palestine,PSE,2020-07-23,3
Palestine,PSE,2020-07-24,3
Palestine,PSE,2020-07-25,3
Palestine,PSE,2020-07-26,3
Palestine,PSE,2020-07-27,3
Palestine,PSE,2020-07-28,3
Palestine,PSE,2020-07-29,3
Palestine,PSE,2020-07-30,3
Palestine,PSE,2020-07-31,3
Palestine,PSE,2020-08-01,3
Palestine,PSE,2020-08-02,3
Palestine,PSE,2020-08-03,3
Palestine,PSE,2020-08-04,3
Palestine,PSE,2020-08-05,3
Palestine,PSE,2020-08-06,3
Palestine,PSE,2020-08-07,3
Palestine,PSE,2020-08-08,3
Palestine,PSE,2020-08-09,3
Palestine,PSE,2020-08-10,3
Palestine,PSE,2020-08-11,3
Palestine,PSE,2020-08-12,3
Palestine,PSE,2020-08-13,3
Palestine,PSE,2020-08-14,3
Palestine,PSE,2020-08-15,3
Palestine,PSE,2020-08-16,3
Palestine,PSE,2020-08-17,3
Palestine,PSE,2020-08-18,3
Palestine,PSE,2020-08-19,3
Palestine,PSE,2020-08-20,3
Palestine,PSE,2020-08-21,3
Palestine,PSE,2020-08-22,3
Palestine,PSE,2020-08-23,3
Palestine,PSE,2020-08-24,3
Palestine,PSE,2020-08-25,3
Palestine,PSE,2020-08-26,3
Palestine,PSE,2020-08-27,3
Palestine,PSE,2020-08-28,3
Palestine,PSE,2020-08-29,3
Palestine,PSE,2020-08-30,3
Palestine,PSE,2020-08-31,3
Palestine,PSE,2020-09-01,3
